week_end,week_label,market,investor,basis,sales,purchases,balance
2025-01-10,2025年1月第1週,東証プライム,生保・損保,金額,34118.071,13098.84,-21019.231
2025-01-10,2025年1月第1週,東証プライム,総計,金額,25016895.189,24958234.819,-58660.37
2025-01-10,2025年1月第1週,東証プライム,自己計,金額,3025983.971,2263540.407,-762443.564
2025-01-10,2025年1月第1週,東証プライム,証券会社,金額,95142.244,106759.761,11617.517
2025-01-10,2025年1月第1週,東証プライム,都銀・地銀等,金額,62641.93,7970.59,-54671.34
2025-01-10,2025年1月第1週,東証プライム,金融機関,金額,955396.198,360374.767,-595021.431
2025-01-17,2025年1月第2週,二市場,その他法人等,金額,33502.222,48623.307,15121.085
2025-01-17,2025年1月第2週,二市場,その他金融機関,金額,43048.784,24019.834,-19028.95
2025-01-17,2025年1月第2週,二市場,事業法人,金額,194110.112,399766.996,205656.884
2025-01-17,2025年1月第2週,二市場,信託銀行,金額,380356.751,250330.25,-130026.501
2025-01-17,2025年1月第2週,二市場,個人,金額,4384354.292,4835685.384,451331.092
2025-01-17,2025年1月第2週,二市場,委託計,金額,17331690.853,17919367.851,587676.998
2025-01-17,2025年1月第2週,二市場,投資信託,金額,227653.788,317462.9,89809.112
2025-01-17,2025年1月第2週,二市場,法人,金額,938421.309,1071784.326,133363.017
2025-01-17,2025年1月第2週,二市場,海外投資家,金額,11938406.472,11933787.976,-4618.496
2025-01-17,2025年1月第2週,二市場,生保・損保,金額,27087.049,22732.77,-4354.279
2025-01-17,2025年1月第2週,二市場,総計,金額,19703685.591,19676972.302,-26713.289
2025-01-17,2025年1月第2週,二市場,自己計,金額,2371994.738,1757604.451,-614390.287
2025-01-17,2025年1月第2週,二市場,証券会社,金額,70508.78,78110.165,7601.385
2025-01-17,2025年1月第2週,二市場,都銀・地銀等,金額,32662.603,8848.269,-23814.334
2025-01-17,2025年1月第2週,二市場,金融機関,金額,483155.187,305931.123,-177224.064
2025-01-17,2025年1月第2週,東証グロース,その他法人等,金額,2869.576,1513.836,-1355.74
2025-01-17,2025年1月第2週,東証グロース,その他金融機関,金額,8.097,69.89,61.793
2025-01-17,2025年1月第2週,東証グロース,事業法人,金額,4067.559,4889.876,822.317
2025-01-17,2025年1月第2週,東証グロース,信託銀行,金額,1724.874,1225.394,-499.48
2025-01-17,2025年1月第2週,東証グロース,個人,金額,276949.74,286250.899,9301.159
2025-01-17,2025年1月第2週,東証グロース,委託計,金額,495888.556,496546.793,658.237
2025-01-17,2025年1月第2週,東証グロース,投資信託,金額,1446.689,1910.346,463.657
2025-01-17,2025年1月第2週,東証グロース,法人,金額,10204.03,9653.014,-551.016
2025-01-17,2025年1月第2週,東証グロース,海外投資家,金額,206688.517,198816.691,-7871.826
2025-01-17,2025年1月第2週,東証グロース,生保・損保,金額,42.083,16.677,-25.406
2025-01-17,2025年1月第2週,東証グロース,総計,金額,517375.31,517584.014,208.704
2025-01-17,2025年1月第2週,東証グロース,自己計,金額,21486.754,21037.221,-449.533
2025-01-17,2025年1月第2週,東証グロース,証券会社,金額,2046.269,1826.189,-220.08
2025-01-17,2025年1月第2週,東証グロース,都銀・地銀等,金額,45.152,26.995,-18.157
